'P26NickelV15um','P27CrackDepthV20um','P44TN','P51NickelR','P52XYPlaneL22um','P57DisplacementYComponentum','P36SIFSK2MaximumMPaum05',P66SIFSK1MaximumMPaum05'
10.0996173,2.920437312,56.69210175,301.7934994,2514.053671,160.6108012,2.007980772,750.1486745
10.0996173,2.920437312,56.69210175,301.7934994,2514.053671,160.6108012,2.007980772,750.1486745
10.17408882,5.001695468,17.09741493,264.0324682,1727.130436,169.5582124,-1.6396184,740.4722679
10.1791173,3.972619572,66.37414061,318.7584284,2600.913222,154.8391791,-6.045365188,747.6300275
10.18004937,3.938285286,68.51978232,313.9328383,2551.10628,149.6649902,-17.61610049,740.8028228
10.23354038,3.612430958,29.71625141,265.2498017,1894.328188,157.6334961,-10.46334017,750.1061399
10.24790541,3.972619572,66.37414061,318.7584284,2601.457866,155.1911461,-4.384917478,750.6925717
10.30399887,5.486606971,66.50430244,332.5982858,2698.920021,159.9227055,-0.487678295,749.7870259
10.36394515,6.564296902,69.30460237,339.8595117,2598.086895,151.5502193,-8.933645685,749.9631357
10.36771598,4.390220718,67.54360143,319.6674196,2556.070393,150.3052697,-5.449398121,747.5273633
10.3741,6.411862877,70.04519689,339.3120803,2655.827321,152.2424671,-3.617778223,742.807324
10.3741,6.668164762,71.72063182,339.8685416,2655.827321,152.2424671,-13.26029041,745.2411368
10.3741,6.668164762,71.72063182,339.8774641,2655.827321,152.2400414,-13.24118122,745.2407993
10.3741,6.6804875,71.71276893,339.8544,2618.359048,152.2424671,-19.22354534,752.9958092
10.38352472,6.071387589,66.16036569,331.9308987,2697.46983,161.1571119,-7.870423345,750.6469987
10.38572647,11.57963163,19.64988056,303.7017869,1797.849387,149.7228058,-19.3653294,736.1008389
10.3951845,6.584701351,65.95191369,337.7791815,2501.421009,151.5703729,-11.61848183,762.0470511
10.3964933,6.956278991,68.10701346,339.8559862,2593.419909,152.4788897,-10.26788068,749.6667931
10.41727892,3.952710784,68.84547532,319.1265764,2562.048662,147.334357,4.353549773,743.3454779
10.44812489,5.738273092,40.58123518,293.8720803,1953.679934,141.0714691,-9.125422189,749.5897547
10.46112071,3.622267137,76.7756898,325.2159446,2950.46398,165.4812182,-1.90190837,751.9559083
10.46166917,3.75470625,70.02864048,313.2123466,2537.734569,149.6649902,-15.09172287,755.7000419
10.47845706,3.64351126,82.49125137,327.25183,2730.584596,147.7046668,-10.27287614,747.1562648
10.50177794,2.844935173,78.90860392,318.6336176,2734.922676,150.0721992,-0.354866742,747.005701
10.50199943,6.918063159,61.02643929,328.8551487,2612.950721,161.562335,-8.72152141,751.0217294
10.51012389,7.080349975,67.54593001,339.3614408,2591.895168,151.9524274,-4.799885491,748.7946724
10.51420465,5.046583399,58.65456556,311.6944,2308.489798,143.6455234,-4.233235463,749.7256092
10.53821264,3.895922757,71.37524367,315.294622,2569.904758,148.114971,-8.422460859,749.4160394
10.57463572,6.601256423,60.06465408,325.9208805,2474.701504,153.0467462,-3.643226797,751.8394648
10.60327278,3.545701801,79.52635905,319.991247,2799.831624,153.8516397,-8.73460919,746.7801792
10.63646715,3.191434685,59.59867405,291.519452,2650.290703,166.3597773,-8.438700614,749.1087604
10.64102676,3.159628151,59.59867405,291.401453,2653.202751,166.3597773,-7.535068538,748.7678976
10.66973125,13.6655119,21.03167472,326.3396444,2017.710711,163.1359437,5.389840826,737.1364319
10.66973125,13.67859172,22.98374245,326.3396444,2045.359068,163.3437328,-0.00909308,738.4356123
10.67006863,5.278185579,59.6977569,309.5499017,2620.797374,163.2639378,-7.758599891,749.1996745
10.68391915,8.283350685,52.05788768,323.9702473,2273.791751,148.7032559,-7.818459743,751.1716016
10.69169967,3.734050622,70.40899875,309.4647175,2610.62391,146.3017476,4.897387241,732.5875522
10.69901386,5.848347859,25.97389156,274.9120278,1834.979573,154.5271354,0.199380496,747.4943788
10.77677394,9.570078299,18.91598318,295.4825616,1711.137173,143.7381916,10.03229908,739.0523622
10.7971,13.99742543,14.75919118,319.9376,1941.30463,162.3710248,10.25268251,735.160577
10.80145084,8.138463136,52.05788768,324.3105764,2273.791751,148.7032559,-1.857299653,755.3588744
10.8380974,2.944954392,13.23479705,232.7194987,1613.621284,165.7210547,13.63699392,731.7664563
10.85678362,2.978949622,65.98977825,292.8309397,2502.987309,149.7866184,-9.716125077,750.8983252
10.873571,5.190900765,71.72704955,320.0580813,2625.361408,148.8284096,-2.803294177,745.6412154
10.88867477,4.093479654,80.70374324,323.9204086,2786.768489,150.6285761,0.456755239,748.5034152
10.90909477,4.888375399,70.28070838,318.1028895,2639.718127,151.2430292,1.856696776,749.171576
10.90909477,5.079925999,70.26438734,318.4281906,2640.950029,151.2430292,0.016534842,747.8161012
10.90909477,4.888375399,70.28070838,318.1028895,2639.718127,151.2430292,1.856696776,749.171576
10.90909477,5.079925999,70.26438734,318.4281906,2640.950029,151.2430292,0.016534842,747.8161012
10.93444625,3.767695833,31.68512987,258.1719176,1789.215321,141.2485851,-6.106886955,751.2653305
10.96207076,3.035391467,59.09932295,285.567497,2683.505472,162.0908482,11.11007862,731.8779195
10.96411792,6.035062081,22.94388184,264.5808469,1824.117622,159.2813773,-5.617302199,746.0943549
10.9758966,3.761530859,68.66525671,304.1305732,2567.85671,149.143408,-0.43042788,749.7255923
10.99596989,5.373743374,70.84205353,319.4299627,2608.157487,149.4906551,-2.548411983,751.1247634
11.02846099,5.789574382,59.3698334,300.6920883,2577.211229,161.778701,-18.57645379,750.5307564
11.03694911,6.400981689,74.34311701,330.7382325,2715.826181,151.0046093,0.755197367,746.3758175
11.03694911,6.400981689,74.34311701,330.7382325,2715.826181,151.0046093,0.755197367,746.3758175
11.0688331,5.154306434,70.97125736,317.5466484,2653.00242,151.2430292,1.720042955,749.8298838
11.0688331,5.154306434,70.97125736,317.5466484,2653.00242,151.2430292,1.720042955,749.8298838
11.08755047,5.86884445,16.29652282,254.5065372,1555.070673,140.857209,1.037248537,740.3753315
11.09913206,5.606250918,71.99064467,317.2622453,2611.740962,148.0818489,-6.320132034,747.0049041
11.09913206,5.869212138,71.99064467,318.928072,2612.001465,148.3835483,-7.798891703,747.8374861
11.10090644,5.912640758,32.37201844,273.1160051,1859.282846,147.0981834,-15.46386644,762.328836
11.1339989,5.005327331,76.21958389,317.043499,2909.470273,162.3163697,-7.090466971,748.7413908
11.149,6.860060548,46.83131076,298.6957681,2489.813133,169.8053818,0.154800545,748.2429242
11.149,6.860060548,46.83131076,298.6957681,2489.813133,169.8053818,0.154800545,748.2429242
11.1516888,9.855915815,56.27693438,325.7443237,2486.415721,158.6147552,-16.05324575,753.8512549
11.17483802,13.44705278,44.06192592,338.9275161,2281.923502,154.2467453,-3.686468923,748.8564684
11.17543062,7.32876791,72.60164188,328.9364031,2566.036469,147.0218289,-13.77129284,756.3514926
11.1837733,12.98189028,47.36700121,329.2863395,2381.193879,157.9608567,-17.63489321,741.307599
11.20116839,6.450791031,73.85216533,328.7948301,2700.353494,151.4076089,1.570507812,752.1820816
11.20116839,6.450791031,73.85216533,328.7948301,2700.353494,151.4076089,1.570507812,752.1820816
11.22272982,5.939263425,37.30422949,276.1414214,1874.299915,140.2200278,-17.07115712,762.7023284
11.22485349,14.18427833,35.90049901,336.078288,2068.030447,143.5229351,3.593535141,746.8628011
11.22485349,14.18427833,37.71171167,336.2394444,2094.247523,143.8196751,0.38033104,746.3152682
11.2353637,11.36966111,13.12043624,287.8108411,1752.630454,149.9260292,2.677306434,738.5045869
11.2359133,10.89304203,58.23731203,339.7009732,2693.5816,167.658235,-0.082314292,750.7904532
11.2359133,10.89304203,58.23731203,339.7119586,2693.5816,167.5594422,0.175809018,750.4772126
11.2359133,10.89304203,58.23731203,339.7119586,2693.5816,167.658235,-0.064268248,750.7996015
11.24816126,10.30868609,56.27693438,325.0617691,2486.415721,158.6147552,-18.96741976,754.0080587
11.25517265,6.841005055,74.34311701,329.8538439,2703.766523,151.0046093,-0.153579318,750.9869844
11.25517265,6.841005055,74.34311701,330.7382325,2704.813374,151.0046093,1.362891515,751.6021325
11.25517265,6.841005055,74.34311701,330.934096,2674.57687,149.8987513,-0.096966023,754.1636521
11.25517265,6.841005055,74.34311701,329.8538439,2703.766523,151.0046093,-0.153579318,750.9869844
11.25517265,6.841005055,74.34311701,330.7382325,2704.813374,151.0046093,1.362891515,751.6021325
11.25517265,6.841005055,74.34311701,330.934096,2674.57687,149.8987513,-0.096966023,754.1636521
11.25848194,4.101531503,69.71733373,300.4763743,2648.032552,152.9682608,-4.228206976,749.4544423
11.26185767,5.468430868,59.41105821,297.4827856,2555.654467,161.0168194,-14.28656333,758.0501351
11.26795548,11.36966111,13.12043624,287.8108411,1752.630454,149.9260292,3.000404437,739.8776132
11.27535679,3.768599762,68.32866817,295.8830813,2481.7328,145.2257153,-6.611785125,753.4295634
11.29080553,6.911926378,31.73843563,277.0773349,2054.988025,159.6303888,0.241912767,744.0881425
11.29080553,6.911926378,31.73843563,277.0773349,2054.988025,159.6303888,0.241912767,744.0881425
11.29664167,14.75171467,37.33338955,336.4711477,2101.322566,144.2190493,-3.607339676,748.7271733
11.2997063,12.26756369,13.95019028,292.1271411,1749.654531,145.0845308,-5.1760562,745.5835295
11.30893754,2.639764923,26.24924196,235.2052951,1863.884478,159.2799548,-5.53593397,749.6887076
11.3151309,8.075550469,46.14795033,292.8016,2131.402482,143.4776704,-17.55860033,741.7892806
11.32068472,5.308553609,74.62671101,316.1122553,2955.396047,165.500593,-0.701172903,749.1844219
11.32068472,5.630637399,77.08169798,319.779255,2955.612466,163.4021352,-4.427229418,748.7147169
11.32068472,5.711526684,75.28865839,320.3492849,2934.495589,163.4784356,-0.150819721,749.4253536
11.34344954,4.25984759,55.28249414,282.4135144,2573.252884,164.9320805,-5.752855432,749.9947279
11.36128866,8.151300197,78.59031059,338.3590691,2883.237683,158.1513972,-7.430958766,750.7103895
11.36643859,11.55716114,50.14925878,325.0383611,2464.802448,160.8189456,-7.436351432,743.7906664
11.3844057,5.250344284,70.57814933,309.6602979,2846.507809,163.0456526,-0.116484706,749.1920179
11.39671286,14.37829974,38.31747245,335.8946033,2109.871283,143.348099,3.852687378,746.8888252
11.40624965,3.981367281,18.84692781,228.5456,1664.562581,153.8077898,-19.96356022,741.3775941
11.45193503,11.1847538,66.13355721,337.3231927,2546.392362,150.8360704,-18.32468714,753.0741319
11.48951943,4.89489609,40.13731489,267.4390866,2012.562063,144.1379025,-5.188225107,750.5055358
11.49510963,11.15732531,37.42756046,302.5591149,2283.441299,167.9990042,-18.36762455,752.1003784
11.5162937,9.63064877,53.55575582,318.3416138,2237.563827,141.5934901,-1.754287451,751.5042793
11.5162937,9.63064877,53.69252307,316.0204632,2253.910798,141.0577315,-1.06583062,743.6156393
11.5162937,9.63064877,53.55575582,318.3416138,2237.563827,141.5934901,-1.754287451,751.5042793
11.5162937,9.63064877,53.69252307,316.0204632,2253.910798,141.0577315,-1.06583062,743.6156393
11.51906868,8.254400358,59.3207338,312.0949482,2632.201428,163.0767713,-8.827430502,751.0070694
11.53221293,14.18990324,46.57526434,333.5100798,2267.263939,149.4534267,-14.56402277,753.1218812
11.53722015,5.274919943,46.69356984,274.4208,2158.768892,145.0569958,-7.010513391,744.6778499
11.53752133,3.922816878,29.6956448,246.0677001,1897.52485,157.0613906,-17.43006859,764.020625
11.57142246,5.53460213,74.2058703,308.3460371,2939.754311,165.457306,-7.944491199,748.310113
11.57847557,5.068392801,44.92889845,274.0977509,2144.829725,146.9791195,-1.783290763,750.6439295
11.60253264,3.349105763,77.18126402,291.7090763,2648.287187,148.4290054,-17.31440339,753.5041486
11.60253264,3.409459264,77.18126402,291.0557271,2648.287187,145.6165858,-12.22942336,742.4966413
11.62517774,5.969406944,26.45967605,256.964176,1901.695528,157.5383187,-6.861564972,750.4520108
11.64099302,6.694225469,68.24448679,307.8013834,2706.242647,153.3401752,0.445956094,735.3818504
11.64757411,10.60254363,28.33613912,289.2726615,1949.971477,149.6004066,-8.204265842,748.5616996
11.67607818,10.08128335,39.61755873,299.0180421,2294.041058,162.4508711,-1.766815466,743.665034
11.68412175,3.54886227,77.61029259,300.6125851,2604.877844,142.9047238,2.980706176,754.3530759
11.68412175,3.54886227,77.61029259,300.6125851,2604.877844,142.9047238,2.980706176,754.3530759
11.68625773,8.910523135,52.08265862,305.1886009,2508.251964,162.496842,-5.45720293,748.5547889
11.69101781,12.27951461,22.03845451,294.5952404,1998.855979,158.3715365,2.796855012,740.5833798
11.69818599,4.214362797,72.30731353,293.4295239,2638.546742,150.1400674,-9.407716154,750.5209344
11.70159587,9.33283125,57.92146521,318.5717125,2539.672418,159.2962116,-4.579842818,759.502094
11.71465442,10.65212192,70.10215292,336.4277789,2791.240716,160.2887618,-7.292010165,750.6276638
11.71647532,5.386199492,72.42980192,302.5599793,2911.715476,165.740235,-7.748976357,749.6718871
11.7429707,6.726716071,30.13406866,264.4308417,2111.207443,168.6512558,-5.993377848,749.4373859
11.74387996,4.200040826,33.5404646,247.1702023,1889.712219,146.3415373,-16.55318353,756.0809607
11.75023004,12.96298403,21.06139063,297.1848404,2007.452878,158.0801832,4.602884395,739.7587301
11.75117973,5.796439983,44.92889845,274.0977509,2143.761357,148.0260122,-10.38870256,755.1033796
11.7524427,9.724421459,21.9091768,277.9752518,1970.396786,163.1530581,4.63321927,741.8017569
11.78942693,6.743978223,72.61418799,311.2106091,2635.430372,147.8811373,-5.774562484,747.7526728
11.81305037,9.01210488,53.41046542,299.0137691,2673.318944,168.4848952,-5.681064811,732.6024835
11.81575796,2.068390033,60.70472968,266.3573708,2601.784773,155.7018025,14.65597009,740.3505002
11.81982669,2.653001317,64.9910854,272.3324537,2817.901273,169.0271974,-3.516231077,750.9413945
11.81982669,2.663894117,64.14646023,272.3324537,2814.290208,168.9375682,-0.162589307,749.3718046
11.82927968,3.670564101,79.03226138,299.2478847,2619.086444,142.42682,0.99392651,753.5794007
11.82927968,3.83247879,79.03226138,300.6125851,2619.086444,142.3075313,1.213627556,753.4432124
11.82927968,3.670564101,79.03226138,299.2478847,2619.086444,142.42682,0.99392651,753.5794007
11.82927968,3.83247879,79.03226138,300.6125851,2619.086444,142.3075313,1.213627556,753.4432124
11.83689896,3.736283731,54.9478704,270.856496,2502.969855,164.7293185,-13.05184528,768.0027299
